Query,Clicks,Impressions,CTR,Position
fintech news,45,1250,3.6,2.1
philippines fintech,38,890,4.27,1.8
fintech updates,32,756,4.23,2.3
digital banking philippines,28,623,4.5,1.9
crypto news philippines,25,567,4.41,2.2
fintech companies philippines,22,445,4.94,1.7
mobile banking trends,20,398,5.03,2.4
digital payments philippines,18,342,5.26,2.1
fintech regulation philippines,16,298,5.37,1.6
blockchain philippines,15,276,5.43,2.3
e-wallet philippines,14,234,5.98,1.8
fintech investment philippines,13,198,6.57,1.5
neobank philippines,12,187,6.42,1.9
fintech startup philippines,11,165,6.67,2.0
digital lending philippines,10,145,6.9,1.8
fintech events philippines,9,123,7.32,2.2
central bank digital currency philippines,8,98,8.16,1.4
fintech jobs philippines,7,87,8.05,1.7
open banking philippines,6,76,7.89,2.1
fintech report philippines,5,65,7.69,1.9
contactless payments philippines,4,54,7.41,2.3
fintech awards philippines,3,42,7.14,2.0
regtech philippines,2,34,5.88,2.5
fintech conferences philippines,1,28,3.57,2.4
artificial intelligence banking philippines,1,23,4.35,2.6
