"Date","Clicks","Impressions","Avg. CTR"
"01/01/2025 12:00:00 AM","4","234","1.71"
"02/01/2025 12:00:00 AM","2","283","0.71"
"03/01/2025 12:00:00 AM","2","241","0.83"
"04/01/2025 12:00:00 AM","1","173","0.58"
"05/01/2025 12:00:00 AM","4","288","1.39"
"06/01/2025 12:00:00 AM","5","364","1.37"
"07/01/2025 12:00:00 AM","4","378","1.06"
"08/01/2025 12:00:00 AM","3","371","0.81"
"09/01/2025 12:00:00 AM","1","305","0.33"
"10/01/2025 12:00:00 AM","3","248","1.21"
"11/01/2025 12:00:00 AM","0","157","0"
"12/01/2025 12:00:00 AM","0","254","0"
"13/01/2025 12:00:00 AM","4","486","0.82"
"14/01/2025 12:00:00 AM","0","262","0"
"15/01/2025 12:00:00 AM","1","346","0.29"
"16/01/2025 12:00:00 AM","0","253","0"
"17/01/2025 12:00:00 AM","0","149","0"
"18/01/2025 12:00:00 AM","0","103","0"
"19/01/2025 12:00:00 AM","3","208","1.44"
"20/01/2025 12:00:00 AM","2","290","0.69"
"21/01/2025 12:00:00 AM","1","307","0.33"
"22/01/2025 12:00:00 AM","1","219","0.46"
"23/01/2025 12:00:00 AM","1","240","0.42"
"24/01/2025 12:00:00 AM","0","158","0"
"25/01/2025 12:00:00 AM","1","121","0.83"
"26/01/2025 12:00:00 AM","1","236","0.42"
"27/01/2025 12:00:00 AM","2","317","0.63"
"28/01/2025 12:00:00 AM","0","217","0"
"29/01/2025 12:00:00 AM","2","311","0.64"
"30/01/2025 12:00:00 AM","1","267","0.37"
"31/01/2025 12:00:00 AM","2","187","1.07"
"01/02/2025 12:00:00 AM","0","164","0"
"02/02/2025 12:00:00 AM","0","245","0"
"03/02/2025 12:00:00 AM","3","342","0.88"
"04/02/2025 12:00:00 AM","4","318","1.26"
"05/02/2025 12:00:00 AM","6","355","1.69"
"06/02/2025 12:00:00 AM","2","333","0.6"
"07/02/2025 12:00:00 AM","3","232","1.29"
"08/02/2025 12:00:00 AM","0","375","0"
"09/02/2025 12:00:00 AM","2","621","0.32"
"10/02/2025 12:00:00 AM","5","379","1.32"
"11/02/2025 12:00:00 AM","10","372","2.69"
"12/02/2025 12:00:00 AM","1","340","0.29"
"13/02/2025 12:00:00 AM","0","302","0"
"14/02/2025 12:00:00 AM","1","192","0.52"
"15/02/2025 12:00:00 AM","0","127","0"
"16/02/2025 12:00:00 AM","1","279","0.36"
"17/02/2025 12:00:00 AM","5","353","1.42"
"18/02/2025 12:00:00 AM","4","366","1.09"
"19/02/2025 12:00:00 AM","2","342","0.58"
"20/02/2025 12:00:00 AM","3","354","0.85"
"21/02/2025 12:00:00 AM","2","236","0.85"
"22/02/2025 12:00:00 AM","3","177","1.69"
"23/02/2025 12:00:00 AM","8","259","3.09"
"24/02/2025 12:00:00 AM","4","461","0.87"
"25/02/2025 12:00:00 AM","6","383","1.57"
"26/02/2025 12:00:00 AM","6","414","1.45"
"27/02/2025 12:00:00 AM","8","349","2.29"
"28/02/2025 12:00:00 AM","5","200","2.5"
"01/03/2025 12:00:00 AM","1","153","0.65"
"02/03/2025 12:00:00 AM","1","313","0.32"
"03/03/2025 12:00:00 AM","4","416","0.96"
"04/03/2025 12:00:00 AM","3","395","0.76"
"05/03/2025 12:00:00 AM","5","442","1.13"
"06/03/2025 12:00:00 AM","6","437","1.37"
"07/03/2025 12:00:00 AM","2","220","0.91"
"08/03/2025 12:00:00 AM","0","158","0"
"09/03/2025 12:00:00 AM","4","303","1.32"
"10/03/2025 12:00:00 AM","8","411","1.95"
"11/03/2025 12:00:00 AM","2","330","0.61"
"12/03/2025 12:00:00 AM","1","371","0.27"
"13/03/2025 12:00:00 AM","4","397","1.01"
"14/03/2025 12:00:00 AM","5","263","1.9"
"15/03/2025 12:00:00 AM","0","159","0"
"16/03/2025 12:00:00 AM","3","282","1.06"
"17/03/2025 12:00:00 AM","3","413","0.73"
"18/03/2025 12:00:00 AM","1","405","0.25"
"19/03/2025 12:00:00 AM","7","389","1.8"
"20/03/2025 12:00:00 AM","0","306","0"
"21/03/2025 12:00:00 AM","3","198","1.52"
"22/03/2025 12:00:00 AM","2","145","1.38"
"23/03/2025 12:00:00 AM","6","322","1.86"
"24/03/2025 12:00:00 AM","8","367","2.18"
"25/03/2025 12:00:00 AM","4","362","1.1"
"26/03/2025 12:00:00 AM","2","310","0.65"
"27/03/2025 12:00:00 AM","2","347","0.58"
"28/03/2025 12:00:00 AM","3","207","1.45"
"29/03/2025 12:00:00 AM","0","149","0"
